2015,,,
UF = Rondônia,Admitidos,Desligados,Saldo
Administração Pública,167,-194,-27
"Agropecuária, extração vegetal, caça e pesca",29,-22,6
Total,288,-274,13
,,,
,,,
UF = Distrito Federal,Admitidos,Desligados,Saldo
Extrativa mineral,18,-22,-4
Indústria de transformação,7,-7,-11
Serviços Industriais de Utilidade Pública,448,-619,-171
Construção Civil,13,-16,-3
Comércio,35,-38,-3
Serviços,74,-70,4
Administração Pública,294,-262,32
"Agropecuária, extração vegetal, caça e pesca",2,-2,255
Total,131,-133,-2
,,,
,,,
UF = Brasil,Admitidos,Desligados,Saldo
Extrativa mineral,18,-25,-7
Indústria de transformação,"  1,381,528 ","- 1,481,632 ",-100
Serviços Industriais de Utilidade Pública,41,-40,370
Construção Civil,901,"- 1,007,493 ",-107
Comércio,"  1,899,271 ","- 2,064,974 ",-166
Serviços,"  3,224,897 ","- 3,166,131 ",59
Administração Pública,44,-33,11
"Agropecuária, extração vegetal, caça e pesca",449,-419,31
Total,"  7,958,342 ","- 8,236,676 ",-278
,,,
2014,,,
UF = Rondônia,Admitidos,Desligados,Saldo
Extrativa mineral,728,-935,-207
Indústria de transformação,21,-22,-394
Serviços Industriais de Utilidade Pública,926,-976,-50
Construção Civil,26,-32,-6
Comércio,51,-51,389
Serviços,35,-34,1
Administração Pública,628,-502,126
"  Agropecuária, extração vegetal, caça e pesca",8,-8,-149
Total,144,-149,-5
,,,
,,,
UF = Acre,Admitidos,Desligados,Saldo
Extrativa mineral,249,-194,55
Indústria de transformação,2,-3,-425
Serviços Industriais de Utilidade Pública,327,-147,180
Construção Civil,5,-6,-1
Comércio,10,-10,501
Serviços,7,-8,-73
Administração Pública,123,-297,-174
"  Agropecuária, extração vegetal, caça e pesca",2,-2,-45
Total,28,-29,-1
,,,
,,,
UF = Amazonas,Admitidos,Desligados,Saldo
Extrativa mineral,259,-331,-72
Indústria de transformação,52,-59,-7
Serviços Industriais de Utilidade Pública,1,-950,209
Construção Civil,18,-24,-6
Comércio,48,-46,1
Serviços,72,-73,-1
Administração Pública,299,-355,-56
"  Agropecuária, extração vegetal, caça e pesca",2,-2,-283
Total,194,-207,-13
,,,
,,,
UF = Roraima,Admitidos,Desligados,Saldo
Extrativa mineral,60,-53,7
Indústria de transformação,1,-1,79
Serviços Industriais de Utilidade Pública,364,-325,39
Construção Civil,4,-4,-145
Comércio,10,-9,902
Serviços,7,-7,194
Administração Pública,170,-68,102
"  Agropecuária, extração vegetal, caça e pesca",645,-788,-143
Total,24,-23,1
,,,
,,,
UF = Para,Admitidos,Desligados,Saldo
Extrativa mineral,4,-3,827
Indústria de transformação,43,-43,498
Serviços Industriais de Utilidade Pública,2,-2,185
Construção Civil,108,-107,1
Comércio,94,-94,119
Serviços,98,-94,4
Administração Pública,435,-303,132
"  Agropecuária, extração vegetal, caça e pesca",31,-32,-1
Total,380,-374,6
,,,
,,,
UF = Amapa,Admitidos,Desligados,Saldo
Extrativa mineral,582,-677,-95
Indústria de transformação,2,-2,-187
Serviços Industriais de Utilidade Pública,161,-631,-470
Construção Civil,4,-5,-598
Comércio,13,-13,602
Serviços,10,-12,-2
Administração Pública,354,-334,20
"  Agropecuária, extração vegetal, caça e pesca",269,-231,38
Total,31,-33,-3
,,,
,,,
UF = Tocantins,Admitidos,Desligados,Saldo
Extrativa mineral,486,-500,-14
Indústria de transformação,9,-8,523
Serviços Industriais de Utilidade Pública,450,-543,-93
Construção Civil,15,-15,142
Comércio,23,-23,-355
Serviços,22,-20,2
Administração Pública,42,-65,-23
"  Agropecuária, extração vegetal, caça e pesca",11,-11,-22
Total,81,-79,2
,,,
,,,
UF = Maranhão,Admitidos,Desligados,Saldo
Extrativa mineral,565,-949,-384
Indústria de transformação,17,-18,-1
Serviços Industriais de Utilidade Pública,883,-2,-954
Construção Civil,46,-52,-7
Comércio,56,-53,2
Serviços,59,-59,-256
Administração Pública,456,-600,-144
"  Agropecuária, extração vegetal, caça e pesca",17,-18,-1
Total,196,-204,-8
,,,
,,,
UF = Piaui,Admitidos,Desligados,Saldo
Extrativa mineral,312,-319,-7
Indústria de transformação,10,-11,-206
Serviços Industriais de Utilidade Pública,699,-888,-189
Construção Civil,32,-33,-949
Comércio,29,-28,903
Serviços,39,-31,8
Administração Pública,24,-33,-9
"  Agropecuária, extração vegetal, caça e pesca",8,-8,-69
Total,119,-112,7
,,,
,,,
UF = Ceará,Admitidos,Desligados,Saldo
Extrativa mineral,997,-1,-131
Indústria de transformação,99,-101,-2
Serviços Industriais de Utilidade Pública,3,-2,599
Construção Civil,85,-78,7
Comércio,125,-115,11
Serviços,210,-187,23
Administração Pública,1,-463,771
"  Agropecuária, extração vegetal, caça e pesca",15,-14,1
Total,540,-498,42
,,,
,,,
UF = Rio Grande do Norte,Admitidos,Desligados,Saldo
Extrativa mineral,2,-2,-406
Indústria de transformação,25,-27,-2
Serviços Industriais de Utilidade Pública,1,-657,391
Construção Civil,40,-43,-3
Comércio,50,-48,2
Serviços,74,-65,9
Administração Pública,332,-556,-224
"  Agropecuária, extração vegetal, caça e pesca",10,-9,330
Total,202,-195,7
,,,
,,,
UF = Paraíba,Admitidos,Desligados,Saldo
Extrativa mineral,381,-345,36
Indústria de transformação,30,-30,-351
Serviços Industriais de Utilidade Pública,1,-1,67
Construção Civil,36,-36,192
Comércio,41,-37,4
Serviços,56,-47,9
Administração Pública,88,-56,32
"  Agropecuária, extração vegetal, caça e pesca",6,-7,-1
Total,172,-160,12
,,,
,,,
UF = Pernambuco,Admitidos,Desligados,Saldo
Extrativa mineral,863,-857,6
Indústria de transformação,95,-102,-7
